User,Date,Number of Sessions
0c3c7119-000c-11f0-9c76-b19d101b8d93,24-03-2025,5
0c3c8c78-d9a1-11ef-be7f-27556e249c09,04-04-2025,1
0c46f7e4-d9a1-11ef-b25a-dbcc41162252,01-04-2025,1
0c49d5fd-e30f-11ef-958b-5fc876857f0b,26-03-2025,2
0c5eb84c-d9a1-11ef-9000-5d6869391c47,24-03-2025,1
0c61ad4c-d9a1-11ef-beb7-dbcc41162252,01-03-2025,1
0c61ad4c-d9a1-11ef-beb7-dbcc41162252,14-03-2025,1
0c6aabff-e30f-11ef-95e0-53e63baa492d,08-04-2025,2
0c750d31-e30f-11ef-b2d0-afe2c67a34d7,13-03-2025,2
0c8663d7-c5f2-11ee-86ae-45e6556e05e2,24-03-2025,1
0c8ce5b2-d9a1-11ef-938f-dbcc41162252,25-03-2025,1
0c96d01d-87b0-11ee-a6a9-d7acbb0efe09,02-04-2025,1
0cd314c6-93a9-11ee-8377-bb72e2943eb1,27-03-2025,1
0cee548d-c5f2-11ee-b4f9-f14eef0f2421,03-01-2025,1
0cf6e6c8-96ee-11ef-ba60-2d2341cd1427,06-01-2025,1
0cf88483-87af-11ee-9fc1-33f3de93faa9,23-12-2024,1
0cfce0f0-e30f-11ef-9d10-6717a8fede92,24-03-2025,1
0cfe3062-5d68-11ee-85b5-c51494a9bfa0,10-04-2025,1
0cfe3062-5d68-11ee-85b5-c51494a9bfa0,31-03-2025,1
0cfe3062-5d68-11ee-85b5-c51494a9bfa0,24-03-2025,1
0d14756e-d9a1-11ef-a221-39b6038380e6,12-04-2025,1
0d14756e-d9a1-11ef-a221-39b6038380e6,10-03-2025,1
0d14756e-d9a1-11ef-a221-39b6038380e6,11-04-2025,1
0d159db7-87af-11ee-98bf-8540968a4aab,12-04-2025,1
0d159db7-87af-11ee-98bf-8540968a4aab,15-04-2025,1
0d159db7-87af-11ee-98bf-8540968a4aab,25-03-2025,1
